Tract,ZIP,County,ApproxLoc,TotPop19,CIscore,CIscoreP,Ozone,OzoneP,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,PopChar,PopCharSc,PopCharP,Child_10,Pop_10_64,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,Shape_Leng,Shape_Area,AAPI,geometry
06037550202,90650,Los Angeles,Norwalk,5710,44.30886915,81.25315179,0.04632538,46.9943995,11.97767043,77.28686994,0.519508877,90.61605476,0.0,0.0,4363.332011,90.74768692,2770.924813,94.5375,684.2479637,75.42150618,82.71792246,91.74543163,4.0,37.55132512,3.0,22.11522497,0.635,76.20119126,0.0,0.0,0.2,9.667812142,56.98149098,6.95742873,86.19788426,57.55,66.33848455,4.63,41.9296895,22.22,93.76869392,22.4,68.96988104,7.0,48.72107186,34.8,61.54522613,5.3,48.25611661,17.1,49.72116603,61.3941575,6.368569607,67.85173979,13.8529,75.0963,11.0508,71.8039,10.6305,6.5674,0.7881,2.014,5090.76371568,1265811.96711,8.1961,"POLYGON ((177386.60269999877 -453278.8244000003, 177394.48409999907 -453572.3097000001, 175780.23149999976 -453607.8223000001, 175772.1367000006 -453231.80539999995, 175868.01319999993 -453285.017, 175927.06689999998 -453296.2566999998, 175999.2928000018 -453281.7165999999, 176056.73959999904 -453245.17480000015, 176342.86879999936 -452686.0784999998, 176730.90419999883 -452210.77940000035, 177386.60269999877 -453278.8244000003))"
06037550201,90650,Los Angeles,Norwalk,2911,37.24940893,70.89006556,0.04716458,50.54138146,12.04217149,80.69695084,0.555434316,91.63658992,0.0,0.0,4030.630819,89.42235559,6467.572384,99.9375,694.5882608,77.45722493,80.56041228,89.7794581,6.6,47.34975737,6.75,36.80889922,0.23,40.13236267,0.0,0.0,0.2,9.667812142,57.21987716,6.986535636,86.50902302,47.04,52.1560319,3.73,20.66974596,18.03,80.72033898,19.7,64.2622121,11.3,66.59899851,30.6,54.78643216,4.6,39.21134826,14.0,33.20659062,51.39757764,5.33159936,52.62228946,17.6572,71.7623,10.5806,80.4191,8.3476,3.607,0.0,1.4085,3903.98270033,568906.103765,6.2178,"POLYGON ((177350.49610000104 -451553.94400000013, 177386.60269999877 -453278.8244000003, 176730.90419999883 -452210.77940000035, 177279.96539999917 -451555.4819, 177350.49610000104 -451553.94400000013))"
06037544002,90810,Los Angeles,Carson,3187,45.50493074,82.56429652,0.04050375,22.19041693,11.81058961,70.04355943,0.18705177,59.76353454,3.368936001,51.17241379,12646.2666,98.42460615,3434.322006,97.55,347.4460098,35.65630074,80.15707087,89.40138626,1.3,19.22359089,19.0,66.87697161,0.84,82.31634679,11.0,86.95926081,3.5,66.68957617,65.1545679,7.9553598,95.96764157,79.55,84.833001,4.14,29.88196048,21.11,90.83998006,29.6,79.72665148,5.4,39.82947625,26.2,46.82160804,4.1,32.27485685,9.0,10.1774398,55.14216016,5.720034277,57.86686838,10.4173,76.4669,13.1158,60.5899,11.641,7.0599,0.3452,5.4283,4537.84521794,1146103.78573,14.9356,"POLYGON ((165098.59540000185 -463188.6673999997, 165077.52230000123 -463279.3535000002, 165820.46990000084 -463261.4648000002, 165873.1495999992 -463525.5702999998, 165839.77639999986 -463557.9243999999, 165874.68439999968 -463596.9742999999, 165672.88940000162 -463856.125, 165260.65199999884 -463966.2763, 165029.8935999982 -463996.5736999996, 164586.58080000058 -464005.89639999997, 164329.20169999823 -463989.5334999999, 164178.3396999985 -463543.574, 164271.37090000138 -463210.4024, 165098.59540000185 -463188.6673999997))"
06037544001,90810,Los Angeles,Carson,4574,56.54553926,93.6207766,0.04125212,24.87865588,12.13159077,86.30989421,0.48118904,89.12258867,0.0,0.0,26330.9668,99.72493123,1720.927077,82.3625,316.1323339,29.37429749,79.95691704,89.22495274,4.4,38.80179171,15.5,60.43499917,1.1,86.41958968,12.0,90.1301974,6.5,81.19129439,65.54834318,8.003439682,96.22899813,79.55,84.833001,4.98,51.82191429,21.11,90.83998006,32.1,82.54872184,7.3,50.00676682,30.1,54.14572864,3.6,25.23425299,29.7,90.0,68.10936292,7.065154672,77.50882501,12.0463,77.8094,10.1443,69.4359,7.0179,6.2965,0.0,0.9401,6349.7605166,2285664.51693,16.3096,"POLYGON ((165920.83590000123 -462362.9912999999, 165909.08289999887 -462418.89360000007, 165942.1261 -462408.5076000001, 165823.33839999884 -463001.6331000002, 165820.46990000084 -463261.4648000002, 165077.52230000123 -463279.3535000002, 165098.59540000185 -463188.6673999997, 165087.2399000004 -463185.5533999996, 164271.37090000138 -463210.4024, 164735.2034999989 -461637.8212000001, 166059.3359999992 -461610.64269999973, 165920.83590000123 -462362.9912999999))"
06037543905,90745,Los Angeles,Carson,4636,56.25489626,93.38124054,0.03975537,20.84629745,11.96592116,76.61481021,0.196508904,61.39390168,0.0,0.0,17153.79948,99.2748187,845.6077474,47.5,316.1323339,29.37429749,86.88452191,94.58097038,1.9,23.49757372,35.35,83.41358127,0.98,84.87094639,11.0,86.95926081,0.7,24.83390607,56.03710921,6.842119904,84.45550716,62.08,71.53539382,7.88,95.94559918,17.08,76.57028913,40.1,90.0531511,20.3,87.0212478,43.7,74.2839196,6.2,59.38313378,23.3,75.10773131,79.26013205,8.22185186,91.80534544,16.1346,74.9353,8.9301,75.3236,2.8473,3.8611,0.151,0.2373,7389.00975524,2748144.03236,17.5799,"POLYGON ((160928.82409999892 -466362.1819000002, 160929.22069999948 -466373.70990000013, 160769.74960000068 -466355.4467000002, 160751.184799999 -465963.80730000045, 160772.9376000017 -464516.8202999998, 160763.11569999903 -464197.99789999984, 162739.92460000142 -464154.80069999956, 161618.55270000175 -465854.7111999998, 161566.36349999905 -465963.15050000045, 161467.9844999984 -466335.20079999976, 160928.82409999892 -466362.1819000002))"
06037139504,91316,Los Angeles,Los Angeles,3998,49.69320017,87.51891074,0.060311,82.47666459,12.66717011,92.20908525,0.48702,89.37149969,0.432252137,36.65517241,777.0553488,59.97749437,4173.018811,99.0125,726.638249,83.12726364,37.60518171,33.90044108,0.0,0.0,3.0,22.11522497,0.06,8.762409001,10.0,82.96934061,1.0,35.71592211,58.0317032,7.085659434,87.8282514,68.54,77.38035892,5.16,56.60764691,13.11,54.74825523,7.6,32.62465199,16.3,80.0108269,37.4,65.27638191,9.8,85.48932847,38.7,98.12420786,67.60858322,7.01320754,76.76500252,8.9545,73.6618,17.3837,11.5308,75.0875,3.8019,0.0,4.6523,2468.28436387,290692.478332,4.9275,"POLYGON ((136574.48970000073 -427081.53890000004, 136254.815200001 -426963.47890000045, 136233.27809999883 -426126.0965999998, 136562.42920000106 -426120.9590999996, 136574.48970000073 -427081.53890000004))"
06037139503,91316,Los Angeles,Los Angeles,5946,32.92450918,63.84266263,0.060311,82.47666459,12.66717011,92.20908525,0.587703983,92.61978843,0.0,0.0,761.0000001,59.63990998,4086.43568,98.9,726.638249,83.12726364,24.48421026,17.25267801,0.0,0.0,0.0,0.0,0.185,31.38318994,4.0,43.78412432,1.0,35.71592211,51.24433158,6.256922708,73.36652147,44.05,47.66949153,4.92,50.19245574,8.77,19.20488534,6.9,29.67603138,23.1,90.33698741,29.9,53.86934673,7.2,69.13066111,21.6,69.15082383,50.72752381,5.262093,51.50025214,9.0313,72.183,18.7857,20.0807,71.8803,2.6404,0.0,1.1941,2469.47830527,351238.016406,4.2045,"POLYGON ((136254.815200001 -426963.47890000045, 135767.67449999973 -426760.1333999997, 135757.0945999995 -426132.5083999997, 136233.27809999883 -426126.0965999998, 136254.815200001 -426963.47890000045))"
06037139401,91356,Los Angeles,Los Angeles,2706,37.23023558,70.83963691,0.060311,82.47666459,12.60171498,91.74859988,0.494161228,89.65774736,0.0,0.0,708.5546723,58.40210053,3953.278058,98.6625,726.638249,83.12726364,39.34169266,36.15626969,1.8,22.88167227,4.8,28.32475511,0.35,56.39973527,4.0,43.78412432,2.25,55.50973654,58.81259704,7.181006417,89.27193528,59.55,68.60667996,3.86,23.27431357,13.44,56.87936191,5.7,24.60136674,16.9,81.18825281,31.4,56.0678392,1.5,3.214471629,28.0,86.79340938,49.97992655,5.184542865,50.30257186,10.4582,70.5839,18.9579,17.6644,70.7317,5.3954,0.0,1.2934,3880.2426874,905897.781909,4.915,"POLYGON ((135430.58799999952 -426100.07129999995, 135439.3104000017 -426627.1995000001, 135356.7485000007 -426588.7564000003, 135359.1715000011 -426733.29420000035, 134821.3123999983 -426742.2739000004, 134153.2382999994 -426431.2271999996, 134144.4189000018 -425910.7567999996, 134972.16230000183 -425918.9818000002, 135113.34600000083 -425957.0772000002, 135430.58799999952 -426100.07129999995))"
06037137103,91367,Los Angeles,Los Angeles,5382,30.07803266,58.81240545,0.05846283,78.00871189,11.56304345,62.47666459,0.496540584,89.75731176,8.227902031,58.65517241,540.9040019,53.08827207,2500.157901,92.575,726.638249,83.12726364,5.643537757,1.625708885,0.0,0.0,15.0,59.60484808,0.185,31.38318994,4.0,43.78412432,0.0,0.0,52.26098626,6.381056042,76.15432483,38.86,39.49401795,5.75,69.98973569,15.38,68.70638086,8.7,36.90205011,4.5,34.64609555,15.0,22.01005025,3.1,18.31077564,16.3,45.5513308,45.44038598,4.713644961,43.43166919,10.7395,71.256,18.0045,15.7934,63.1735,1.4121,0.4645,0.6689,3578.53981059,762204.602396,18.4876,"POLYGON ((129293.4637000002 -426422.2934999997, 128523 -426292.15720000025, 128525.4178000018 -425773.29509999976, 128599.10330000147 -425505.6955000004, 128587.74870000035 -425423.20050000027, 128551.7846999988 -425340.95660000015, 129283.61499999836 -425326.6087999996, 129293.4637000002 -426422.2934999997))"
06037134905,91371,Los Angeles,Los Angeles,4552,34.97694422,67.56177509,0.05938691,79.98755445,12.04220557,80.70939639,0.228525136,66.8948351,9.723258777,60.0,549.4076691,53.45086272,1082.964955,62.9875,726.638249,83.12726364,4.113764915,0.995589162,3.5,33.87458007,10.0,47.43483314,0.6,74.73196559,4.0,43.78412432,0.0,0.0,54.001117,6.593525659,80.31113877,38.86,39.49401795,4.53,39.51757762,15.38,68.70638086,1.6,4.214123007,8.9,57.40966301,27.9,50.40201005,7.8,74.10203019,24.6,79.06210393,51.13865576,5.304740745,52.16843167,5.0527,86.4016,8.5457,13.1371,57.3814,11.1819,0.0,3.7346,6717.26758092,2581656.92072,14.565,"POLYGON ((131569.37079999968 -425217.48419999983, 131360.04509999976 -425403.15699999966, 131232.80139999837 -425438.2449000003, 130658.08949999884 -425449.2982999999, 130384.57679999992 -425499.0976, 130260.00140000135 -425472.3289000001, 130059.09560000151 -425352.6040000003, 129965.79679999873 -425321.14910000004, 129283.61499999836 -425326.6087999996, 129259.65289999917 -424317.5909000002, 131241.5705000013 -424291.3733000001, 131379.32710000128 -424319.03949999996, 131451.44680000097 -424352.24060000014, 131638.1939000003 -424529.6239, 131706.71339999884 -424574.5275999997, 131716.77529999986 -425180.8668999998, 131630.000500001 -425191.16199999955, 131569.37079999968 -425217.48419999983))"
