ID,NAME,Avg_TreeCanopy_Cover,F5yearincrements_pop0_cy,raceandhispanicorigin_hisppop_cy_1,raceandhispanicorigin_nhspblk_cy_1,households_acshhbpov,agedependency_senior_cy,healthpersonalcare_mp14088a_b_1,commute_acsbus,commute_acswalked,CT_Area_SqKM,CanopyCover_SqKM,SUM_Traffic,householdincome_medhinc_cy,Shape_Length,Shape_Area,pPoverty,pHispanic,pNonHspBlack,pSeniors,pYoungChildren,pWalk2Work,pBus2Work,pAsthma,pTreeCanopy,DisIdxPoverty,DisIdxHispanic,DisIdxNonHspBlack,DisIdxSeniors,DisIdxYoungChildren,DisIdxWalk2Work,DisIdxBus2Work,DisIdxAsthma,AvePM25,AveLST,TreesToPlant
06037113237,060371132.37,6.123723335488041,155.000000000000000,673.000000000000000,195.000000000000000,144.000000000000000,945.000000000000000,107.000000000000000,9.000000000000000,0.000000000000000,4.747309550661964,0.290712102761739,257062.000000000000000,100817.000000000000000,36474.827846807529568,51095630.380509898066521,0.0581701,0.0341490,0.0057579,0.1849178,0.0645331,0.0000000,0.0056614,10701.2675781,0.2789358,-0.2207658,-0.2447868,-0.2731779,-0.0940181,-0.2144028,-0.2789358,-0.2732745,10700.9882812,13.539253571345451,111.861707338913305,914
06037113303,060371133.03,4.523473826308685,152.000000000000000,1216.000000000000000,120.000000000000000,100.000000000000000,797.000000000000000,101.000000000000000,44.000000000000000,7.000000000000000,4.094740161671934,0.185224499468579,507448.000000000000000,99820.000000000000000,31016.476271643728978,44071991.807356752455235,0.0403959,0.0617017,0.0035433,0.1559571,0.0632840,0.0104607,0.0276778,10101.2675781,0.1777214,-0.1373255,-0.1160197,-0.1741780,-0.0217643,-0.1144373,-0.1672606,-0.1500435,10101.0898438,15.300856440621059,113.212959364839108,943
06037113321,060371133.21,4.608092485549133,318.000000000000000,2026.000000000000000,294.000000000000000,219.000000000000000,678.000000000000000,165.000000000000000,26.000000000000000,92.000000000000000,1.048400522576385,0.048311265699300,223818.000000000000000,65485.000000000000000,13666.382347119368205,11283930.732926692813635,0.0884670,0.1028023,0.0086812,0.1326711,0.1323968,0.1374837,0.0163551,16501.2675781,0.0463543,0.0421127,0.0564480,-0.0376731,0.0863169,0.0860426,0.0911295,-0.0299992,16501.2207031,15.052778643287530,112.183447512353027,956
06037113421,060371134.21,4.012097882870497,407.000000000000000,3446.000000000000000,517.000000000000000,313.000000000000000,589.000000000000000,130.000000000000000,244.000000000000000,49.000000000000000,2.205346342403173,0.088480653913520,549449.000000000000000,60108.000000000000000,21648.042615479440428,23736138.967177886515856,0.1264391,0.1748552,0.0152659,0.1152556,0.1694513,0.0732250,0.1534861,13001.2675781,0.0848964,0.0415427,0.0899588,-0.0696305,0.0303592,0.0845549,-0.0116714,0.0685897,13001.1826172,15.277876741182276,113.536308254438069,962
06037113422,060371134.22,6.820781312927910,347.000000000000000,2662.000000000000000,311.000000000000000,188.000000000000000,817.000000000000000,155.000000000000000,94.000000000000000,17.000000000000000,1.529603445314677,0.104330905959925,257609.000000000000000,72359.000000000000000,18198.285560244887165,16463413.312501711770892,0.0759443,0.1350739,0.0091832,0.1598707,0.1444708,0.0254046,0.0591299,15501.2675781,0.1001046,-0.0241604,0.0349693,-0.0909215,0.0597661,0.0443661,-0.0747000,-0.0409747,15501.1669922,15.300012570871250,110.452595869847912,959
06037134001,060371340.01,5.845338983050848,282.000000000000000,2850.000000000000000,89.000000000000000,170.000000000000000,277.000000000000000,108.000000000000000,151.000000000000000,41.000000000000000,0.583525724108609,0.034109056627450,255812.000000000000000,53228.000000000000000,12140.707942307984922,6280591.898406667634845,0.0686730,0.1446133,0.0026280,0.0542034,0.1174085,0.0612699,0.0949853,10801.2675781,0.0327274,0.0359456,0.1118860,-0.0300994,0.0214761,0.0846812,0.0285426,0.0622579,10801.2343750,15.128042810256096,111.967805604528863,953
06037134002,060371340.02,6.122734761120263,229.000000000000000,2222.000000000000000,96.000000000000000,159.000000000000000,390.000000000000000,71.000000000000000,29.000000000000000,51.000000000000000,0.753580404240241,0.046139729363408,4481.000000000000000,66695.000000000000000,13626.227702795460573,8110926.587618599645793,0.0642295,0.1127476,0.0028347,0.0763153,0.0953424,0.0762138,0.0182422,7101.2680664,0.0442707,0.0199588,0.0684770,-0.0414360,0.0320446,0.0510717,0.0319431,-0.0260285,7101.2236328,15.171952670678166,110.459692140451168,933
06037134103,060371341.03,6.880938416422287,251.000000000000000,1890.000000000000000,183.000000000000000,129.000000000000000,709.000000000000000,116.000000000000000,119.000000000000000,0.000000000000000,1.050540403882794,0.072287038230809,191774.000000000000000,81367.000000000000000,17436.839676087383850,11307104.698306446895003,0.0521107,0.0959015,0.0054036,0.1387372,0.1045019,0.0000000,0.0748559,11601.2675781,0.0693588,-0.0172481,0.0265426,-0.0639552,0.0693784,0.0351431,-0.0693588,0.0054971,11601.1982422,15.210793466542935,110.836976087349996,951
06037134201,060371342.01,5.906328059950042,336.000000000000000,2543.000000000000000,100.000000000000000,117.000000000000000,534.000000000000000,128.000000000000000,167.000000000000000,53.000000000000000,1.466717340159264,0.086629137821979,266888.000000000000000,102698.000000000000000,16455.943767906508583,15786497.229548385366797,0.0472632,0.1290357,0.0029528,0.1044932,0.1398910,0.0792026,0.1050499,12801.2675781,0.0831199,-0.0358568,0.0459157,-0.0801672,0.0213733,0.0567711,-0.0039173,0.0219300,12801.1845703,15.143209388792092,112.366840567756398,956
06037134302,060371343.02,6.401029480580252,177.000000000000000,920.000000000000000,105.000000000000000,155.000000000000000,682.000000000000000,127.000000000000000,26.000000000000000,11.000000000000000,1.306899426696200,0.083655017584358,135124.000000000000000,97281.000000000000000,15260.718548208427819,14066328.131440537050366,0.0626136,0.0466822,0.0031004,0.1334539,0.0736926,0.0164383,0.0163551,12701.2675781,0.0802663,-0.0176527,-0.0335841,-0.0771659,0.0531876,-0.0065737,-0.0638280,-0.0639112,12701.1875000,14.961741346897909,110.439024102665840,942
